empresa,cliente,tipo,data_pedido,mes,ano,cod_produto,nome_produto,qtd,preco_unit,valor_item,total_pedido,comissao_rate,comissao_valor,pgto,file_name,file_path,processado_em,ordem_compra
Ibrac Condimentos,A SERTANEJA,PEDIDO,2025-03-05,2025,2025,30030011,CORANTE ALIMENTICIO CWS # 1200 - (5L),50.0,31.08,1554.0,26874.0,0.0,0.0,28 / 35 / 42 DIAS,pedido_67c861f8c584b.pdf,pedido_67c861f8c584b.pdf,,
Ibrac Condimentos,A SERTANEJA,PEDIDO,2025-03-05,2025,2025,40020076,REGRAX RUBRO SV ES - (20 L),800.0,31.65,25320.0,26874.0,0.0,0.0,28 / 35 / 42 DIAS,pedido_67c861f8c584b.pdf,pedido_67c861f8c584b.pdf,,
Ibrac Condimentos,A SERTANEJA,PEDIDO,2025-03-03,2025,2025,70010063,ALHO EM PO - PASTALHO # 100 (10 KG),10.0,19.49,194.9,194.9,0.0,0.0,28 / 35 / 42 DIAS,pedido_67c5882de3eb7-IBRAC.pdf,pedido_67c5882de3eb7-IBRAC.pdf,,
Ibrac Condimentos,A SERTANEJA,PEDIDO,2025-03-03,2025,2025,30030011,CORANTE ALIMENTICIO CWS # 1200 - (5L),50.0,31.08,1554.0,26874.0,0.0,0.0,28 / 35 / 42 DIAS,pedido_67c58bf5d96f6-CORI.pdf,pedido_67c58bf5d96f6-CORI.pdf,,
Ibrac Condimentos,A SERTANEJA,PEDIDO,2025-03-03,2025,2025,40020076,REGRAX RUBRO SV ES - (20 L),800.0,31.65,25320.0,26874.0,0.0,0.0,28 / 35 / 42 DIAS,pedido_67c58bf5d96f6-CORI.pdf,pedido_67c58bf5d96f6-CORI.pdf,,
Ibrac Condimentos,A SERTANEJA,PEDIDO,2025-09-23,2025,2025,30030011,CORANTE ALIMENTICIO CWS # 1200 - (5L),50.0,31.08,1554.0,20544.0,0.0,0.0,28 / 35 / 42 DIAS,pedido_68d2ece691f1f.pdf,pedido_68d2ece691f1f.pdf,,
Ibrac Condimentos,A SERTANEJA,PEDIDO,2025-09-23,2025,2025,40020076,REGRAX RUBRO SV ES - (20 L),600.0,31.65,18990.0,20544.0,0.0,0.0,28 / 35 / 42 DIAS,pedido_68d2ece691f1f.pdf,pedido_68d2ece691f1f.pdf,,
Ibrac Condimentos,A SERTANEJA,PEDIDO,2025-12-02,2025,2025,40020076,REGRAX RUBRO SV ES - (20 L),600.0,31.65,18990.0,20544.0,0.0,0.0,28 / 35 / 42 DIAS,pedido_692f408278ea8.pdf,pedido_692f408278ea8.pdf,,
Ibrac Condimentos,A SERTANEJA,PEDIDO,2025-12-02,2025,2025,30030011,CORANTE ALIMENTICIO CWS # 1200 - (5L),50.0,31.08,1554.0,20544.0,0.0,0.0,28 / 35 / 42 DIAS,pedido_692f408278ea8.pdf,pedido_692f408278ea8.pdf,,
Ibrac Condimentos,A SERTANEJA,PEDIDO,2026-03-25,2026-03,2026,40020076,REGRAX RUBRO SV ES - (20 L),400.0,32.84,13136.0,14690.0,0.0,0.0,28 / 35 / 42 DIAS,pedido_69c47a05bd923.pdf,pedido_69c47a05bd923.pdf,,
Ibrac Condimentos,A SERTANEJA,PEDIDO,2026-03-25,2026-03,2026,30030011,CORANTE ALIMENTICIO CWS # 1200 - (5L),50.0,31.08,1554.0,14690.0,0.0,0.0,28 / 35 / 42 DIAS,pedido_69c47a05bd923.pdf,pedido_69c47a05bd923.pdf,,
